ID,HinhAnh,HangXe,DongXe,NamSX,XuatXu,KieuDang,SoKm,NgoaiThat,NoiThat,NhienLieu,DongCo,HopSo,DanDong,Gia
2613,https://s.bonbanh.com/uploads/users/626366/car/4611997/m_1664531315.441.jpeg,Mazda,3,2018,Lắp ráp trong nước,Sedan,42000,Trắng,Đen,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,556000000
2614,https://s.bonbanh.com/uploads/users/613234/car/4619614/m_1664938477.103.jpg,Toyota,Vios,2020,Lắp ráp trong nước,Sedan,20000,Đen,Đen,Xăng,1.5,Số tay,FWD - Dẫn động cầu trước,445000000
2615,https://s.bonbanh.com/uploads/users/556626/car/4416453/m_1654252272.213.jpg,Kia,Sorento,2021,Lắp ráp trong nước,SUV,28000,Đỏ,Kem,Dầu,2.2,Số tự động,AWD - 4 bánh toàn thời gian,1280000000
2616,https://s.bonbanh.com/uploads/users/645172/car/4349687/m_1650798720.111.jpeg,Mercedes Benz,GLC,2018,Lắp ráp trong nước,SUV,28000,Trắng,Kem,Xăng,2,Số tự động,AWD - 4 bánh toàn thời gian,1520000000
2617,https://s.bonbanh.com/uploads/users/506015/car/4565439/m_1662196537.769.jpeg,Mercedes Benz,E class,2016,Lắp ráp trong nước,Sedan,50000,Đen,Đen,Xăng,2,Số tự động,RFD - Dẫn động cầu sau,1330000000
2618,https://s.bonbanh.com/uploads/users/101272/car/4436776/m_1655310698.698.jpg,Jaguar,XF,2013,Nhập khẩu,Sedan,70000,Trắng,Vàng,Xăng,2,Số tự động,RFD - Dẫn động cầu sau,890000000
2619,https://s.bonbanh.com/uploads/users/107609/car/4365631/m_1651680408.232.jpeg,Toyota,Fj cruiser,2007,Nhập khẩu,SUV,80000,Đen,Đen,Xăng,4,Số tự động,AWD - 4 bánh toàn thời gian,1380000000
2620,https://s.bonbanh.com/uploads/users/395320/car/4604855/m_1664184806.649.jpeg,Ford,Fiesta,2013,Lắp ráp trong nước,Hatchback,65000,Trắng,Đen,Xăng,1.6,Số tự động,FWD - Dẫn động cầu trước,315000000
2621,https://s.bonbanh.com/uploads/users/374085/car/4558945/m_1661826854.362.jpeg,Toyota,Alphard,2019,Nhập khẩu,Van/Minivan,39999,Đen,Đen,Xăng,3.5,Số tự động,FWD - Dẫn động cầu trước,4099000000
2622,https://s.bonbanh.com/uploads/users/1708/car/4568959/m_1662418789.811.jpg,Honda,City,2016,Lắp ráp trong nước,Sedan,100000,Trắng,Ghi,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,385000000
2623,https://s.bonbanh.com/uploads/users/662186/car/4611220/m_1664510940.439.jpeg,Toyota,Rush,2021,Nhập khẩu,SUV,25000,Nâu,Xám,Xăng,1.5,Số tự động,RFD - Dẫn động cầu sau,655000000
2624,https://s.bonbanh.com/uploads/users/663795/car/4568471/m_1662372035.561.jpg,Bentley,Flying Spur,2014,Nhập khẩu,Sedan,28000,Trắng,Kem,Xăng,4,Số tự động,RFD - Dẫn động cầu sau,7200000000
2625,https://s.bonbanh.com/uploads/users/545387/car/4619621/m_1664937878.710.jpg,Ford,Ranger,2021,Nhập khẩu,Bán tải / Pickup,24000,Xám,Đen,Dầu,2,Số tự động,4WD - Dẫn động 4 bánh,1479000000
2626,https://s.bonbanh.com/uploads/users/659089/car/4603094/m_1664094658.330.jpeg,Honda,CRV,2021,Lắp ráp trong nước,SUV,12000,Trắng,Đen,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,1070000000
2627,https://s.bonbanh.com/uploads/users/626366/car/4616832/m_1664790469.307.jpeg,Toyota,Camry,2020,Nhập khẩu,Sedan,22000,Đen,Nâu,Xăng,2.5,Số tự động,FWD - Dẫn động cầu trước,1220000000
2628,https://s.bonbanh.com/uploads/users/665930/car/4605022/m_1664190571.161.jpeg,Toyota,Camry,2018,Lắp ráp trong nước,Sedan,69000,Đen,Nâu,Xăng,2.5,Số tự động,FWD - Dẫn động cầu trước,922000000
2629,https://s.bonbanh.com/uploads/users/616852/car/4598093/m_1663832291.966.jpg,Nissan,X trail,2017,Lắp ráp trong nước,SUV,62000,Đen,Đen,Xăng,2.5,Số tự động,4WD - Dẫn động 4 bánh,715000000
2630,https://s.bonbanh.com/uploads/users/626209/car/4540347/m_1660878965.jpeg,LandRover,Range Rover,2015,Nhập khẩu,SUV,30000,Đỏ,Đen,Xăng,5,Số tự động,AWD - 4 bánh toàn thời gian,6299000000
2631,https://s.bonbanh.com/uploads/users/278032/car/4546837/m_1661159381.755.jpg,Mercedes Benz,E class,2022,Lắp ráp trong nước,Sedan,3000,Đen,Đen,Xăng,2,Số tự động,RFD - Dẫn động cầu sau,2370000000
2632,https://s.bonbanh.com/uploads/users/205661/car/4563198/m_1662036135.184.jpeg,Mazda,3,2017,Lắp ráp trong nước,Sedan,63000,Bạc,Đen,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,448000000
2633,https://s.bonbanh.com/uploads/users/124158/car/4403830/m_1653612705.246.jpeg,Ford,Ranger,2016,Nhập khẩu,Bán tải / Pickup,86952,Xanh,Đen,Dầu,2.2,Số tự động,RFD - Dẫn động cầu sau,535000000
2634,https://s.bonbanh.com/uploads/users/54619/car/4599561/m_1663907326.842.jpg,Hyundai,SantaFe,2018,Lắp ráp trong nước,SUV,52000,Trắng,Kem,Dầu,2.2,Số tự động,4WD - Dẫn động 4 bánh,868000000
2635,https://s.bonbanh.com/uploads/users/554015/car/4613557/m_1664618418.843.jpeg,Toyota,Corolla altis,2015,Lắp ráp trong nước,Sedan,62000,Bạc,Kem,Xăng,1.8,Số tự động,FWD - Dẫn động cầu trước,530000000
2636,https://s.bonbanh.com/uploads/users/176574/car/4538404/m_1660710221.823.jpg,Ford,Ranger,2019,Nhập khẩu,Bán tải / Pickup,50000,Trắng,Đen,Dầu,2,Số tự động,4WD - Dẫn động 4 bánh,870000000
